Date,Envelope,Account,Name,Notes,"Check #",Amount,Status,Details
16/06/2023,Utilitati,"My Account",DIGI,,,-10.16,,
15/06/2023,"Cumpărături neesențiale","My Account",EMAG,,,-144.48,,
14/06/2023,Taxi,"My Account",CFR,,,-50.60,,
14/06/2023,"Cumpărături neesențiale","My Account","Mega Image",,,-15.41,,
14/06/2023,"Cumpărături neesențiale","My Account","Cinema Florin Piersic",,,-22.00,,
14/06/2023,"Cumpărături neesențiale","My Account",Souper,,,-31.00,,
14/06/2023,"Cumpărături neesențiale","My Account","Tucani Coffee ",,,-17.00,,
14/06/2023,Taxi,"My Account",Ctp,,,-6.00,,
13/06/2023,"Cumpărături neesențiale","My Account","Cinema Florin Piersic",,,-17.00,,
13/06/2023,"Cumpărături neesențiale","My Account",Delissima,,,-8.00,,
13/06/2023,"Cumpărături neesențiale","My Account","Tucani Coffee ",,,-21.00,,
12/06/2023,Taxi,"My Account",Ctp,,,-6.00,,
12/06/2023,"Cumpărături neesențiale","My Account",Souper,,,-13.50,,
12/06/2023,"Cumpărături neesențiale","My Account",Panemar,,,-15.00,,
12/06/2023,"Cumpărături neesențiale","My Account","Tucani Coffee ",,,-36.00,,
12/06/2023,Taxi,"My Account",CFR,,,-53.00,,
12/06/2023,Medical,"My Account",DrMax,,,-4.98,,
12/06/2023,"Cumpărături neesențiale","My Account",TIFF,,,-90.00,,
12/06/2023,"Cumpărături neesențiale","My Account",TIFF,,,-145.00,,
11/06/2023,"Cumpărături neesențiale","My Account",Tazz,,,-65.97,,
11/06/2023,Taxi,"My Account","Transferoviar Calatori",,,-29.00,,
10/06/2023,"Cumpărături neesențiale","My Account","Mama Manu",,,-26.99,,
10/06/2023,"Cumpărături neesențiale","My Account","Tucani Coffee ",,,-17.00,,
10/06/2023,"Cumpărături neesențiale","My Account",Narcofee,,,-37.00,,
10/06/2023,"Cumpărături neesențiale","My Account",Panemar,,,-26.00,,
10/06/2023,,"My Account","Monthly Envelope Fill",,,"8,000.00",,"DELETED: Abonament autobus|90.00||Savings|2,500.00||Cheltuieli neprevazute + mici placeri|595.00||Asigurare viata|180.00||Abonament telefon + sala + autobus|496.00||Chirie|1,000.00||Masa in oras|500.00||Taxi|200.00||Donatii|1,500.00||Impozit pe venit|500.00||Utilitati|250.00||Cumparaturi|651.00||[Unallocated]|-462.00"
09/06/2023,Cumparaturi,"My Account","Mega Image",,,-6.84,,
09/06/2023,Taxi,"My Account","Interregio Calatori",,,-25.00,,
09/06/2023,Taxi,"My Account","Fulger Taxi",,,-13.00,,
08/06/2023,Cumparaturi,"My Account",Kaufland,,,-132.28,,
08/06/2023,"Cumpărături neesențiale","My Account",EMAG,,,-171.99,,
07/06/2023,"Cumpărături neesențiale","My Account",Profi,,,-9.65,,
07/06/2023,Donatii,"My Account",De-clic,,,-50.00,,
06/06/2023,"Cumpărături neesențiale","My Account",Pasiune,,,-105.37,,
06/06/2023,"Cumpărături neesențiale","My Account",EMAG,,,185.69,,
06/06/2023,"Cumpărături neesențiale","My Account",Metalochimice,,,-4.00,,
06/06/2023,Cumparaturi,"My Account","Piata Rogerius",,,-20.50,,
06/06/2023,"Cumpărături neesențiale","My Account",TIFF,,,-195.00,,
04/06/2023,"Cumpărături neesențiale","My Account",Profi,,,-15.84,,
04/06/2023,Cumparaturi,"My Account",Lidl,,,-17.07,,
04/06/2023,Cumparaturi,"My Account",Kaufland,,,-104.64,,
04/06/2023,Studiu,"My Account",AWS,,,-161.16,,
04/06/2023,Donatii,"My Account",Wikipedia,,,-52.00,,
02/06/2023,"Cumpărături neesențiale","My Account",EMAG,,,-185.69,,
02/06/2023,"Cumpărături neesențiale","My Account",Steam,,,-74.66,,
01/06/2023,Cumparaturi,"My Account",Lidl,,,-91.90,,
31/05/2023,Cumparaturi,"My Account",Kaufland,,,-116.36,,
29/05/2023,"Cumpărături neesențiale","My Account",Profi,,,-15.84,,
29/05/2023,Cumparaturi,"My Account",Profi,,,-4.89,,
26/05/2023,"Cumpărături neesențiale","My Account",Profi,,,-9.65,,
26/05/2023,Cumparaturi,"My Account",Profi,,,-13.58,,
25/05/2023,"Cumpărături neesențiale","My Account","Starea Nației","YouTube ",,-41.47,,
25/05/2023,"Cumpărături neesențiale","My Account",Steam,,,-82.89,,
25/05/2023,Donatii,"My Account",Escapist,,,-308.96,,
24/05/2023,Cumparaturi,"My Account",Lidl,,,-71.03,,
24/05/2023,Cumparaturi,"My Account",Kaufland,,,-195.22,,
23/05/2023,"Cumpărături neesențiale","My Account",Tazz,,,-64.97,,
23/05/2023,Studiu,"My Account","Auto Zach",,,-600.00,,
22/05/2023,"Cumpărături neesențiale","My Account",Profi,,,-9.65,,
22/05/2023,"Cumpărături neesențiale","My Account",Tazz,,,-65.98,,
22/05/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
22/05/2023,"Cumpărături neesențiale","My Account","Benzinărie Ramada",,,-6.50,,
22/05/2023,Taxi,"My Account",OTL,,,-3.00,,
21/05/2023,"Cumpărături neesențiale","My Account",FITS,,,-60.60,,
21/05/2023,"Cumpărături neesențiale","My Account","Teatrul Regina Maria",,,-43.05,,
21/05/2023,"Cumpărături neesențiale","My Account","Teatrul Regina Maria",,,-37.93,,
21/05/2023,"Cumpărături neesențiale","My Account","Teatrul Regina Maria",,,-32.80,,
20/05/2023,"Cumpărături neesențiale","My Account","Starea Nației","YouTube ",,-9.99,,
19/05/2023,"Cumpărături neesențiale","My Account",Tazz,"Old mill",,-58.98,,
19/05/2023,Utilitati,"My Account",DIGI,,,-10.14,,
17/05/2023,Cumparaturi,"My Account",Lidl,,,-16.97,,
17/05/2023,Utilitati,"My Account","Corsar Gaz",,,-70.00,,
16/05/2023,Donatii,"My Account",Libertatea,,,-50.00,,
15/05/2023,"Cumpărături neesențiale","My Account",EMAG,,,-215.46,,
14/05/2023,"Cumpărături neesențiale","My Account",EMAG,,,-111.89,,
14/05/2023,"Cumpărături neesențiale","My Account","Noodle Pack",,,-49.99,,
14/05/2023,Cumparaturi,"My Account",Kaufland,,,-14.99,,
14/05/2023,Cumparaturi,"My Account",Lidl,,,-7.94,,
13/05/2023,Cumparaturi,"My Account","Piața Rogerius",,,-17.50,,
13/05/2023,Cumparaturi,"My Account",Lidl,,,-83.40,,
13/05/2023,Cumparaturi,"My Account",Kaufland,,,-71.82,,
13/05/2023,"Cumpărături neesențiale","My Account","Sound Creation",,,-44.00,,
12/05/2023,Studiu,"My Account",Brilliant,,,-172.25,,
11/05/2023,Cumparaturi,"My Account",Profi,,,-38.62,,
11/05/2023,Utilitati,"My Account","Asociatia Locatari Aluminei 68",,,-505.80,,
11/05/2023,Taxi,"My Account","Fulger Taxi",,,-10.00,,
11/05/2023,"Cumpărături neesențiale","My Account",Lorin,,,-5.00,,
11/05/2023,"Cumpărături neesențiale","My Account",Miango,,,-65.00,,
11/05/2023,Taxi,"My Account",OTL,,,-3.00,,
10/05/2023,,"My Account","Monthly Envelope Fill",,,"8,000.00",,"DELETED: Abonament autobus|90.00||Savings|2,500.00||Cheltuieli neprevazute + mici placeri|595.00||Asigurare viata|180.00||Abonament telefon + sala + autobus|496.00||Chirie|1,000.00||Masa in oras|500.00||Taxi|200.00||Donatii|1,500.00||Impozit pe venit|500.00||Utilitati|250.00||Cumparaturi|651.00||[Unallocated]|-462.00"
09/05/2023,Studiu,"My Account","Auto Zach",,,-600.00,,
07/05/2023,Cumparaturi,"My Account",Kaufland,,,-5.29,,
07/05/2023,Cumparaturi,"My Account",Lidl,,,-51.06,,
07/05/2023,Cumparaturi,"My Account",Kaufland,,,-168.98,,
